folder_name,relative_path,depth,direct_file_count,total_file_count_recursive,direct_subfolder_count
beatrizrocha_1162641421797226,your_instagram_activity\messages\inbox\beatrizrocha_1162641421797226,4,1,1,0
betosilva_1846411436753551,your_instagram_activity\messages\inbox\betosilva_1846411436753551,4,1,1,0
biancaceribelli_543491833712191,your_instagram_activity\messages\inbox\biancaceribelli_543491833712191,4,1,1,0
biancaferreiraadvogada_1912237070170987,your_instagram_activity\messages\inbox\biancaferreiraadvogada_1912237070170987,4,1,1,0
biohigix_1186595696068465,your_instagram_activity\messages\inbox\biohigix_1186595696068465,4,1,1,0
bombeirosgoias_1829303865130975,your_instagram_activity\messages\inbox\bombeirosgoias_1829303865130975,4,1,1,0
bomhumorotimismo_1757408895653806,your_instagram_activity\messages\inbox\bomhumorotimismo_1757408895653806,4,1,1,0
brunacarvalhonutricionistarioverde_1883836756344352,your_instagram_activity\messages\inbox\brunacarvalhonutricionistarioverde_1883836756344352,4,1,1,0
brunalimadias_1625935612134469,your_instagram_activity\messages\inbox\brunalimadias_1625935612134469,4,1,1,0
brunarieper_881658709896879,your_instagram_activity\messages\inbox\brunarieper_881658709896879,4,1,1,0
brunoalves_1523167499077948,your_instagram_activity\messages\inbox\brunoalves_1523167499077948,4,1,1,0
brunoarantes_1676940997042669,your_instagram_activity\messages\inbox\brunoarantes_1676940997042669,4,1,1,0
brunoaraujo_1956473079080719,your_instagram_activity\messages\inbox\brunoaraujo_1956473079080719,4,1,1,0
brunocastro_1857472988984818,your_instagram_activity\messages\inbox\brunocastro_1857472988984818,4,1,1,0
brunogallo_1228060955255272,your_instagram_activity\messages\inbox\brunogallo_1228060955255272,4,1,1,0
brunolesche_949405303120840,your_instagram_activity\messages\inbox\brunolesche_949405303120840,4,1,1,0
brunosimaomichaleski_1384448479616518,your_instagram_activity\messages\inbox\brunosimaomichaleski_1384448479616518,4,1,1,0
buritishoppingrioverde_561270265269386,your_instagram_activity\messages\inbox\buritishoppingrioverde_561270265269386,4,1,1,0
bylucianarocha_1757532082308154,your_instagram_activity\messages\inbox\bylucianarocha_1757532082308154,4,1,1,0
cabomoraespresidentedacammunderioverde_1761569175237778,your_instagram_activity\messages\inbox\cabomoraespresidentedacammunderioverde_1761569175237778,4,1,1,0
cacbicoletivoempresarial_1421632255898140,your_instagram_activity\messages\inbox\cacbicoletivoempresarial_1421632255898140,4,1,1,0
cacheadoscresposeondulados_1886756432719051,your_instagram_activity\messages\inbox\cacheadoscresposeondulados_1886756432719051,4,1,1,0
caiocalhau_1217618472966187,your_instagram_activity\messages\inbox\caiocalhau_1217618472966187,4,1,1,0
cairosantos_1773478057380223,your_instagram_activity\messages\inbox\cairosantos_1773478057380223,4,1,1,0
camaramunicipalderioverde_573615580699816,your_instagram_activity\messages\inbox\camaramunicipalderioverde_573615580699816,4,1,1,0
camcamaradearbitragememediacaoacirv_925011988893505,your_instagram_activity\messages\inbox\camcamaradearbitragememediacaoacirv_925011988893505,4,1,1,0
camila_1025989258905998,your_instagram_activity\messages\inbox\camila_1025989258905998,4,1,1,0
camilamachado_1720329092703203,your_instagram_activity\messages\inbox\camilamachado_1720329092703203,4,1,1,0
camilasantoshomecoffee_1236014191130614,your_instagram_activity\messages\inbox\camilasantoshomecoffee_1236014191130614,4,1,1,0
